n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
467,0.00208,-,0.03697,0.03962,0.03977,0.03970
468,0.00210,-,0.03944,0.03961,0.03970,0.03971
469,0.00206,-,0.03948,0.03866,0.03916,0.03880
470,0.00213,-,0.03897,0.03754,0.03972,0.03969
471,0.00210,-,0.03865,0.03957,0.03970,0.03817
472,0.00208,-,0.03906,0.03961,0.03971,0.03968
473,0.00209,-,0.03943,0.03955,0.03766,0.03965
474,0.00207,-,0.03943,0.03954,0.03966,0.03965
475,0.00207,-,0.03668,0.03753,0.03751,0.03878
476,0.00218,-,0.03902,0.03959,0.03971,0.03827
477,0.00217,-,0.03905,0.03964,0.03970,0.03570
478,0.00221,-,0.03911,0.03882,0.03980,0.03978
479,0.00212,-,0.03574,0.03753,0.03968,0.03979
480,0.00218,-,0.03950,0.03759,0.03749,0.03753
481,0.00211,-,0.03536,0.03959,0.03972,0.03953
482,0.00211,-,0.03823,0.03959,0.03975,0.03898
483,0.00209,-,0.03676,0.03715,0.03794,0.03752
484,0.00212,-,0.03536,0.03874,0.03758,0.03968
485,0.00210,-,0.03947,0.03939,0.03762,0.03747
486,0.00210,-,0.03912,0.03586,0.03753,0.03974
487,0.00211,-,0.03947,0.03957,0.03970,0.03969
488,0.00209,-,0.03945,0.03840,0.03619,0.03819
489,0.00211,-,0.03943,0.03836,0.03706,0.03753
490,0.00211,-,0.03947,0.03838,0.03754,0.03740
491,0.00214,-,0.03908,0.03968,0.03628,0.03752
492,0.00207,-,0.03944,0.03846,0.03969,0.03970
493,0.00206,-,0.03732,0.03557,0.03967,0.03606
494,0.00208,-,0.03915,0.03753,0.03755,0.03752
495,0.00211,-,0.03911,0.03959,0.03607,0.03882
496,0.00204,-,0.03946,0.03751,0.03755,0.03753
497,0.00217,-,0.03904,0.03959,0.03633,0.03752
498,0.00207,-,0.03829,0.03961,0.03979,0.03908
499,0.00222,-,0.03761,0.03631,0.03991,0.03606
500,0.00225,-,0.03960,0.03966,0.03980,0.03653
501,0.00249,-,0.03830,0.03885,0.03640,0.03681
502,0.00215,-,0.03789,0.03753,0.03753,0.03751
503,0.00219,-,0.03947,0.03844,0.03876,0.03609
504,0.00221,-,0.03945,0.03883,0.03826,0.03876
505,0.00213,-,0.03946,0.03755,0.03978,0.03975
506,0.00208,-,0.03798,0.03976,0.03938,0.03982
507,0.00217,-,0.03950,0.03967,0.03634,0.03652
508,0.00226,-,0.03952,0.03884,0.03630,0.03755
509,0.00213,-,0.03949,0.03836,0.03881,0.03608
510,0.00217,-,0.03952,0.03881,0.03707,0.03753
511,0.00214,-,0.03947,0.03963,0.03621,0.03755
512,0.00223,-,0.03951,0.03764,0.03875,0.03815
513,0.00212,-,0.03910,0.03920,0.03838,0.03751
514,0.00209,-,0.03914,0.03958,0.03979,0.03984
515,0.00220,-,0.03949,0.03962,0.03983,0.03980
516,0.00215,-,0.03779,0.03762,0.03867,0.03934
517,0.00210,-,0.03758,0.03762,0.03752,0.03978
518,0.00212,-,0.03944,0.03959,0.03915,0.03874
519,0.00208,-,0.03946,0.03722,0.03767,0.03754
520,0.00209,-,0.03945,0.03959,0.03971,0.03972
521,0.00211,-,0.03946,0.03958,0.03971,0.03976
522,0.00212,-,0.03946,0.03649,0.03880,0.03941
523,0.00217,-,0.03919,0.03836,0.03753,0.03750
524,0.00222,-,0.03946,0.03882,0.03700,0.03630
525,0.00210,-,0.03574,0.03755,0.03756,0.03714
526,0.00213,-,0.03943,0.03960,0.03764,0.03976
527,0.00220,-,0.03926,0.03754,0.03755,0.03748
528,0.00214,-,0.03909,0.03871,0.03621,0.03750
529,0.00213,-,0.03909,0.03842,0.03749,0.03626
530,0.00222,-,0.03773,0.03934,0.03784,0.03878
531,0.00237,-,0.07638,0.03881,0.03622,0.03749
532,0.00209,-,0.03945,0.03836,0.03762,0.03489
533,0.00213,-,0.03787,0.03877,0.03626,0.03753
534,0.00213,-,0.03947,0.03843,0.03878,0.03610
535,0.00216,-,0.03949,0.03759,0.03751,0.03753
536,0.00214,-,0.03908,0.03961,0.03758,0.03641
537,0.00216,-,0.03950,0.03961,0.03973,0.03855
538,0.00212,-,0.03945,0.03739,0.03756,0.03683
539,0.00221,-,0.03949,0.03843,0.03738,0.03671
540,0.00219,-,0.03902,0.03890,0.03987,0.03987
541,0.00226,-,0.03895,0.03847,0.03754,0.03752
542,0.00213,-,0.03946,0.03837,0.03749,0.03754
543,0.00219,-,0.03904,0.03967,0.03668,0.03752
544,0.00215,-,0.03946,0.03762,0.03751,0.03752
545,0.00210,-,0.03911,0.03966,0.03756,0.03748
546,0.00213,-,0.03909,0.03601,0.03898,0.03989
547,0.00218,-,0.03830,0.03754,0.03759,0.03750
548,0.00211,-,0.03947,0.03838,0.03753,0.03754
549,0.00216,-,0.07157,0.03843,0.03658,0.03660
550,0.00217,-,0.03904,0.03842,0.03758,0.03649
551,0.00224,-,0.03951,0.03946,0.03977,0.03900
552,0.00215,-,0.03948,0.03841,0.03869,0.03976
553,0.00216,-,0.03723,0.03840,0.03876,0.03979
554,0.00214,-,0.07222,0.03878,0.03754,0.03751
555,0.00209,-,0.03828,0.03939,0.03980,0.03679
556,0.00218,-,0.07256,0.03909,0.03604,0.03751
557,0.00213,-,0.03909,0.03840,0.03878,0.03974
558,0.00215,-,0.07167,0.03877,0.03608,0.03752
559,0.00212,-,0.03946,0.03959,0.03629,0.03742
560,0.00216,-,0.03947,0.03840,0.03754,0.03750
561,0.00216,-,0.03906,0.03842,0.03754,0.03751
562,0.00219,-,0.03947,0.03823,0.03621,0.03859
563,0.00211,-,0.03944,0.03848,0.03740,0.03633
564,0.00210,-,0.03944,0.03956,0.03630,0.03877
565,0.00211,-,0.03827,0.03705,0.03753,0.03875
566,0.00215,-,0.03917,0.03841,0.03682,0.03699
567,0.00208,-,0.07242,0.03685,0.03794,0.03655
568,0.00215,-,0.03905,0.03839,0.03660,0.03753
569,0.00214,-,0.03909,0.03840,0.03753,0.03751
570,0.00214,-,0.03949,0.03839,0.03748,0.03879
571,0.00212,-,0.03823,0.03757,0.03749,0.03755
572,0.00217,-,0.03950,0.03762,0.03606,0.03836
573,0.00212,-,0.03913,0.03876,0.03638,0.03585
574,0.00211,-,0.03907,0.03548,0.03493,0.03877
575,0.00218,-,0.07274,0.03636,0.03755,0.03875
576,0.00211,-,0.07519,0.03812,0.03986,0.03983
577,0.00215,-,0.03949,0.03961,0.03979,0.03978
578,0.00218,-,0.07205,0.03754,0.03752,0.03877
579,0.00213,-,0.03949,0.03753,0.03751,0.03754
580,0.00212,-,0.03905,0.03770,0.03608,0.03876
581,0.00212,-,0.03906,0.03837,0.03751,0.03667
582,0.00211,-,0.07240,0.03807,0.03752,0.03873
583,0.00213,-,0.03946,0.03710,0.03622,0.03754
584,0.00216,-,0.03949,0.03830,0.03751,0.03977
585,0.00215,-,0.03921,0.03880,0.03978,0.03850
586,0.00214,-,0.03946,0.03868,0.03980,0.03979
587,0.00209,-,0.03946,0.03837,0.03802,0.03615
588,0.00216,-,0.03947,0.03759,0.03876,0.03604
589,0.00215,-,0.07626,0.03838,0.03875,0.03979
590,0.00215,-,0.07281,0.03750,0.03750,0.03747
591,0.00222,-,0.03949,0.03841,0.03659,0.03717
592,0.00216,-,0.03950,0.03966,0.03979,0.03979
593,0.00213,-,0.07256,0.03756,0.03710,0.03747
594,0.00211,-,0.07651,0.03949,0.03734,0.03756
595,0.00219,-,0.07206,0.03749,0.03753,0.03750
596,0.00223,-,0.07205,0.03592,0.03875,0.03791
597,0.00213,-,0.07610,0.03719,0.03874,0.03980
598,0.00215,-,0.07308,0.03965,0.03980,0.03981
599,0.00213,-,0.07482,0.03751,0.03755,0.03873
600,0.00215,-,0.07608,0.03965,0.03630,0.03754
601,0.00215,-,0.07233,0.03935,0.03980,0.03762
602,0.00216,-,0.07205,0.03698,0.03750,0.03753
603,0.00217,-,0.07649,0.03758,0.03624,0.03850
604,0.00210,-,0.07614,0.03829,0.03876,0.03761
605,0.00218,-,0.07604,0.03838,0.03981,0.03977
606,0.00215,-,0.07202,0.03756,0.03752,0.03752
607,0.00212,-,0.07610,0.03840,0.03876,0.03620
608,0.00218,-,0.07456,0.03962,0.03759,0.03751
609,0.00211,-,0.07239,0.03758,0.03752,0.03752
610,0.00213,-,0.07165,0.03875,0.03635,0.03870
611,0.00221,-,0.07648,0.03840,0.03657,0.03749
612,0.00223,-,0.07643,0.03880,0.03632,0.03874
613,0.00213,-,0.07614,0.03756,0.03752,0.03878
614,0.00215,-,0.07607,0.03680,0.03752,0.03759
615,0.00215,-,0.07608,0.03934,0.03860,0.03976
616,0.00209,-,0.07452,0.03881,0.03757,0.03628
617,0.00214,-,0.07611,0.03786,0.03752,0.03752
618,0.00217,-,0.07540,0.03966,0.03652,0.03753
619,0.00210,-,0.07648,0.03743,0.03873,0.03994
620,0.00211,-,0.07360,0.03881,0.03776,0.03750
621,0.00212,-,0.07082,0.03753,0.03838,0.03978
622,0.00215,-,0.07073,0.03965,0.03980,0.03977
623,0.00219,-,0.07650,0.03962,0.03630,0.03977
624,0.00215,-,0.07647,0.03799,0.03754,0.03884
625,0.00225,-,0.07586,0.03735,0.03750,0.03754
626,0.00216,-,0.07203,0.03709,0.03751,0.03751
627,0.00211,-,0.07612,0.03839,0.03754,0.03754
628,0.00219,-,0.07658,0.03969,0.03976,0.03917
629,0.00214,-,0.07645,0.03962,0.03972,0.03854
630,0.00209,-,0.07107,0.03878,0.03814,0.03878
631,0.00212,-,0.07169,0.03877,0.03793,0.03751
632,0.00213,-,0.07163,0.03881,0.03979,0.03981
633,0.00214,-,0.07043,0.03882,0.03618,0.03749
634,0.00209,-,0.07170,0.03760,0.03875,0.03599
635,0.00211,-,0.07167,0.03757,0.03733,0.03976
636,0.00210,-,0.07277,0.03958,0.03974,0.03974
637,0.00460,-,0.07646,0.03969,0.03840,0.03877
638,0.00218,-,0.07110,0.03755,0.03756,0.03882
639,0.00217,-,0.07616,0.03894,0.03981,0.03858
640,0.00208,-,0.07615,0.03879,0.03603,0.03849
641,0.00206,-,0.07518,0.03936,0.03752,0.03637
642,0.00219,-,0.07642,0.03962,0.03757,0.03753
643,0.00213,-,0.07645,0.03834,0.03854,0.03659
644,0.00213,-,0.07612,0.03758,0.03876,0.03628
645,0.00216,-,0.07233,0.03677,0.03751,0.03877
646,0.00211,-,0.07619,0.03811,0.03749,0.03755
647,0.00220,-,0.07229,0.03757,0.03751,0.03877
648,0.00216,-,0.07650,0.03759,0.03679,0.03749
649,0.00213,-,0.07204,0.03753,0.03605,0.03765
650,0.00210,-,0.07150,0.03754,0.03752,0.03751
651,0.00213,-,0.07609,0.03966,0.03753,0.03749
652,0.00213,-,0.07200,0.03710,0.03756,0.03751
653,0.00218,-,0.07605,0.03805,0.03750,0.03738
654,0.00218,-,0.07647,0.03883,0.03899,0.03960
655,0.00210,-,0.07204,0.03880,0.03833,0.03749
656,0.00213,-,0.07649,0.03822,0.03753,0.03877
657,0.00214,-,0.07077,0.03754,0.03952,0.03759
658,0.00211,-,0.07086,0.03877,0.03832,0.03981
659,0.00213,-,0.07274,0.03969,0.03975,0.03626
660,0.00212,-,0.07162,0.03880,0.03983,0.03978
661,0.00215,-,0.07647,0.03866,0.03604,0.03753
662,0.00211,-,0.07610,0.03783,0.03671,0.03707
663,0.00214,-,0.07157,0.03758,0.03865,0.03755
664,0.00210,-,0.07078,0.03963,0.03759,0.03753
665,0.00215,-,0.07141,0.03682,0.03689,0.03751
666,0.00217,-,0.07158,0.03886,0.03976,0.03859
667,0.00225,-,0.07209,0.03685,0.03692,0.03874
668,0.00214,-,0.07653,0.03886,0.03983,0.03889
669,0.00213,-,0.07645,0.03760,0.03754,0.03752
670,0.00220,-,0.07652,0.03965,0.03630,0.03876
671,0.00211,-,0.07648,0.03765,0.03833,0.03975
672,0.00210,-,0.07271,0.03806,0.03878,0.03631
673,0.00216,-,0.07160,0.03753,0.03753,0.03753
674,0.00217,-,0.07606,0.03931,0.03977,0.03631
675,0.00214,-,0.07200,0.03755,0.03749,0.03749
676,0.00217,-,0.07651,0.03839,0.03752,0.03881
677,0.00211,-,0.07206,0.03886,0.03633,0.03751
678,0.00213,-,0.07165,0.03754,0.03948,0.03678
679,0.00209,-,0.07620,0.03810,0.03879,0.03632
680,0.00214,-,0.07608,0.03640,0.03658,0.03975
681,0.00212,-,0.07645,0.03957,0.03852,0.03970
682,0.00210,-,0.07644,0.03786,0.03639,0.03753
683,0.00216,-,0.07159,0.03759,0.03974,0.03912
684,0.00215,-,0.07202,0.03759,0.03876,0.03632
685,0.00213,-,0.07205,0.03755,0.03749,0.03669
686,0.00216,-,0.07648,0.03721,0.03870,0.03646
687,0.00216,-,0.07202,0.03752,0.03751,0.03630
688,0.00228,-,0.07216,0.03759,0.03666,0.03746
689,0.00213,-,0.07203,0.03758,0.03754,0.03751
690,0.00212,-,0.07205,0.03880,0.03628,0.03752
691,0.00224,-,0.07206,0.03965,0.03978,0.03856
692,0.00213,-,0.07611,0.03755,0.03477,0.03859
693,0.00223,-,0.07653,0.03843,0.03673,0.03832
694,0.00217,-,0.07607,0.03758,0.03755,0.03875
695,0.00215,-,0.07167,0.03963,0.03978,0.03906
696,0.00214,-,0.07203,0.03629,0.03754,0.03877
697,0.00210,-,0.07612,0.03961,0.03976,0.03977
698,0.00215,-,0.07088,0.03878,0.03629,0.03877
699,0.00215,-,0.07113,0.03885,0.03609,0.03871
700,0.00229,-,0.07450,0.03700,0.03752,0.03975
701,0.00213,-,0.07649,0.03799,0.03748,0.03509
702,0.00211,-,0.07291,0.03886,0.03757,0.03751
703,0.00212,-,0.07488,0.03761,0.03953,0.03924
704,0.00208,-,0.07074,0.03743,0.03876,0.03975
705,0.00212,-,0.07475,0.03847,0.03486,0.03751
706,0.00215,-,0.07282,0.03961,0.03974,0.03782
707,0.00232,-,0.07209,0.07265,0.03880,0.03757
708,0.00213,-,0.07213,0.03880,0.03629,0.03751
709,0.00213,-,0.07648,0.03827,0.03977,0.03975
710,0.00216,-,0.07646,0.03762,0.03969,0.03973
711,0.00211,-,0.07647,0.07135,0.03752,0.03752
712,0.00216,-,0.07258,0.07292,0.03809,0.03752
713,0.00213,-,0.07583,0.03812,0.03803,0.03481
714,0.00213,-,0.07486,0.03761,0.03798,0.03980
715,0.00211,-,0.07649,0.03964,0.03977,0.03979
716,0.00213,-,0.07205,0.03891,0.03604,0.03752
717,0.00211,-,0.07540,0.03875,0.03752,0.03753
718,0.00219,-,0.07650,0.03843,0.03753,0.03753
719,0.00215,-,0.07650,0.03802,0.03757,0.03598
720,0.00213,-,0.06823,0.03961,0.03982,0.03989
721,0.00217,-,0.07204,0.03965,0.03978,0.03884
722,0.00210,-,0.07273,0.03784,0.03876,0.03629
723,0.00210,-,0.07167,0.06885,0.03759,0.03871
724,0.00217,-,0.07164,0.03751,0.03750,0.03879
725,0.00214,-,0.07518,0.03721,0.03825,0.03602
726,0.00212,-,0.07168,0.03759,0.03754,0.03755
727,0.00216,-,0.07206,0.03755,0.03749,0.03755
728,0.00212,-,0.07646,0.03963,0.03631,0.03751
729,0.00219,-,0.07232,0.03751,0.03678,0.03698
730,0.00215,-,0.07652,0.03758,0.03751,0.03751
731,0.00217,-,0.07614,0.03923,0.03856,0.03638
732,0.00209,-,0.07170,0.03886,0.03626,0.03645
733,0.00217,-,0.07160,0.03722,0.03750,0.03751
734,0.00211,-,0.07613,0.03839,0.03881,0.03984
735,0.00214,-,0.07276,0.07447,0.03810,0.03748
736,0.00211,-,0.07164,0.03753,0.03752,0.03750
737,0.00215,-,0.07650,0.03880,0.03981,0.03890
738,0.00215,-,0.07495,0.03968,0.03757,0.03752
739,0.00205,-,0.07244,0.03957,0.03982,0.03877
740,0.00216,-,0.07529,0.03757,0.03879,0.03880
741,0.00215,-,0.07527,0.03884,0.03631,0.03878
742,0.00216,-,0.07651,0.03739,0.03751,0.03980
743,0.00215,-,0.07554,0.03740,0.03752,0.03877
744,0.00215,-,0.07608,0.03758,0.03752,0.03759
745,0.00215,-,0.07163,0.03742,0.03874,0.03633
746,0.00212,-,0.07204,0.03756,0.03749,0.03750
747,0.00221,-,0.07452,0.03968,0.03757,0.03653
748,0.00213,-,0.07160,0.03730,0.03841,0.03812
749,0.00221,-,0.07654,0.03965,0.03918,0.03866
750,0.00217,-,0.07601,0.03762,0.03752,0.03878
751,0.00214,-,0.07312,0.03754,0.03752,0.03876
752,0.00214,-,0.07649,0.03882,0.03630,0.03876
753,0.00209,-,0.07647,0.03779,0.03966,0.03978
754,0.00212,-,0.07646,0.03960,0.03974,0.03977
755,0.00210,-,0.07648,0.03960,0.03979,0.03979
756,0.00213,-,0.07648,0.03959,0.03972,0.03975
757,0.00208,-,0.07648,0.03958,0.03883,0.04015
758,0.00238,-,0.07455,0.03967,0.03977,0.03977
759,0.00215,-,0.07650,0.07495,0.03663,0.03989
760,0.00209,-,0.07528,0.03761,0.03752,0.03750
761,0.00213,-,0.07205,0.07372,0.03752,0.03753
762,0.00211,-,0.07610,0.07384,0.03798,0.03609
763,0.00219,-,0.07602,0.03936,0.03879,0.03623
764,0.00212,-,0.07649,0.07556,0.03927,0.03927
765,0.00214,-,0.07077,0.03761,0.03931,0.03981
766,0.00216,-,0.07214,0.07416,0.03675,0.03621
767,0.00214,-,0.07285,0.03757,0.03741,0.03879
768,0.00210,-,0.07166,0.03881,0.03627,0.03746
769,0.00212,-,0.07159,0.03753,0.03874,0.03630
770,0.00212,-,0.07613,0.07463,0.03714,0.03754
771,0.00215,-,0.07606,0.03936,0.03853,0.03655
772,0.00227,-,0.07217,0.07454,0.03712,0.03750
773,0.00213,-,0.07204,0.07456,0.03885,0.03978
774,0.00211,-,0.07277,0.03854,0.03978,0.03880
775,0.00221,-,0.07611,0.07250,0.03855,0.03756
776,0.00210,-,0.07202,0.07453,0.03676,0.03831
777,0.00211,-,0.07205,0.07457,0.03755,0.03754
778,0.00213,-,0.07623,0.07172,0.03914,0.03973
779,0.00215,-,0.07647,0.03959,0.03970,0.03844
780,0.00212,-,0.07610,0.03961,0.03877,0.03850
781,0.00211,-,0.07611,0.07462,0.03755,0.03878
782,0.00217,-,0.07164,0.03880,0.03629,0.03875
783,0.00209,-,0.07179,0.07447,0.03881,0.03981
784,0.00212,-,0.07328,0.07350,0.03887,0.03634
785,0.00219,-,0.07283,0.07455,0.03879,0.03632
786,0.00207,-,0.07296,0.07453,0.03679,0.03751
787,0.00214,-,0.07163,0.07459,0.03791,0.03627
788,0.00207,-,0.07615,0.03934,0.03852,0.03752
789,0.00212,-,0.07238,0.07460,0.03807,0.03745
790,0.00210,-,0.07171,0.07443,0.03934,0.03611
791,0.00212,-,0.07166,0.03884,0.03755,0.03758
792,0.00216,-,0.07204,0.07221,0.03875,0.03609
793,0.00227,-,0.07264,0.03971,0.03976,0.03972
794,0.00209,-,0.07518,0.07217,0.03981,0.03730
795,0.00208,-,0.07171,0.07217,0.03752,0.03758
796,0.00205,-,0.07617,0.07190,0.03875,0.03773
797,0.00215,-,0.07597,0.03934,0.03787,0.03969
798,0.00209,-,0.07074,0.03939,0.03348,0.03853
799,0.00210,-,0.07167,0.07454,0.03809,0.03749
800,0.00210,-,0.07614,0.03843,0.03892,0.03951
801,0.00211,-,0.07486,0.07458,0.03761,0.03596
802,0.00214,-,0.07650,0.07251,0.03973,0.03973
803,0.00209,-,0.07643,0.03851,0.03977,0.03974
804,0.00210,-,0.07647,0.03868,0.03975,0.03602
805,0.00210,-,0.07651,0.03958,0.03967,0.03956
806,0.00212,-,0.07653,0.03962,0.03971,0.03972
807,0.00211,-,0.07645,0.03959,0.03855,0.03975
808,0.00212,-,0.07524,0.07490,0.03883,0.03623
809,0.00216,-,0.07281,0.03964,0.03541,0.03978
810,0.00209,-,0.07651,0.07378,0.03751,0.03752
811,0.00209,-,0.07373,0.03924,0.03598,0.03654
812,0.00209,-,0.07647,0.03960,0.03973,0.03971
813,0.00210,-,0.07291,0.03877,0.03624,0.03754
814,0.00215,-,0.07607,0.07539,0.03913,0.03977
815,0.00211,-,0.07276,0.07462,0.03831,0.03974
816,0.00210,-,0.07645,0.07466,0.03692,0.03752
817,0.00205,-,0.07618,0.03957,0.03884,0.03978
818,0.00211,-,0.07645,0.07051,0.03755,0.03977
819,0.00211,-,0.07646,0.03964,0.03590,0.03753
820,0.00209,-,0.07169,0.07294,0.03745,0.03762
821,0.00211,-,0.07454,0.07432,0.03758,0.03974
822,0.00210,-,0.07330,0.07458,0.03980,0.03980
823,0.00211,-,0.07276,0.07315,0.03654,0.03924
824,0.00212,-,0.07642,0.03907,0.03982,0.03980
825,0.00214,-,0.07649,0.07195,0.03760,0.03751
826,0.00212,-,0.07650,0.07465,0.03762,0.03973
827,0.00209,-,0.07644,0.07567,0.03649,0.03850
828,0.00209,-,0.07240,0.07582,0.03972,0.03756
829,0.00215,-,0.07650,0.07587,0.03826,0.03751
830,0.00211,-,0.07001,0.07579,0.03979,0.03883
831,0.00211,-,0.07332,0.07087,0.03753,0.03977
832,0.00213,-,0.07281,0.03959,0.03972,0.03974
833,0.00209,-,0.07445,0.03961,0.03710,0.03643
834,0.00209,-,0.07395,0.07215,0.03921,0.03748
835,0.00222,-,0.07660,0.07124,0.03975,0.03878
836,0.00214,-,0.07288,0.03965,0.03976,0.03857
837,0.00213,-,0.07603,0.07069,0.03756,0.03943
838,0.00212,-,0.07484,0.07095,0.03751,0.03878
839,0.00208,-,0.07621,0.07294,0.03885,0.03791
840,0.00209,-,0.06915,0.03954,0.03850,0.03875
841,0.00209,-,0.07434,0.07511,0.03794,0.03880
842,0.00212,-,0.07161,0.07456,0.03759,0.03753
843,0.00216,-,0.07284,0.07503,0.03753,0.03758
844,0.00210,-,0.07152,0.07455,0.03799,0.03693
845,0.00215,-,0.07653,0.07457,0.03811,0.03749
846,0.00217,-,0.07153,0.07508,0.03879,0.03987
847,0.00221,-,0.07628,0.07662,0.03979,0.03799
848,0.00215,-,0.07207,0.07459,0.03807,0.03984
849,0.00211,-,0.07350,0.07456,0.03804,0.03750
850,0.00211,-,0.07206,0.07457,0.03879,0.03976
851,0.00214,-,0.07276,0.07462,0.03701,0.03752
852,0.00218,-,0.07202,0.07454,0.03730,0.03625
853,0.00226,-,0.07211,0.07455,0.03809,0.03991
854,0.00229,-,0.07027,0.06881,0.03877,0.03982
855,0.00216,-,0.07609,0.07667,0.03720,0.03750
856,0.00216,-,0.07653,0.07626,0.03981,0.03667
857,0.00233,-,0.07217,0.07225,0.03876,0.03613
858,0.00213,-,0.07290,0.07441,0.03675,0.03875
859,0.00217,-,0.07649,0.07386,0.03928,0.03623
860,0.00218,-,0.07207,0.07455,0.03624,0.03974
861,0.00214,-,0.07647,0.07502,0.03802,0.03751
862,0.00212,-,0.07286,0.07453,0.03759,0.03749
863,0.00216,-,0.07160,0.07456,0.03754,0.03750
864,0.00214,-,0.07650,0.07145,0.03977,0.03977
865,0.00215,-,0.07648,0.07324,0.03752,0.03976
866,0.00217,-,0.07064,0.07710,0.04016,0.03928
867,0.00241,-,0.07127,0.07232,0.03863,0.04034
868,0.00464,-,0.07660,0.07501,0.03828,0.03621
869,0.00231,-,0.07270,0.07325,0.03818,0.03542
870,0.00237,-,0.07436,0.07560,0.03686,0.03884
871,0.00220,-,0.07606,0.07698,0.03966,0.03840
872,0.00213,-,0.07209,0.07450,0.03613,0.03755
873,0.00215,-,0.07613,0.07337,0.03662,0.03795
874,0.00243,-,0.07487,0.07626,0.03748,0.03842
875,0.00216,-,0.07108,0.07194,0.03985,0.03879
876,0.00219,-,0.07551,0.07382,0.03757,0.03752
877,0.00210,-,0.07169,0.07694,0.03948,0.03631
878,0.00213,-,0.07159,0.07306,0.03753,0.03738
879,0.00214,-,0.07208,0.07454,0.03760,0.03880
880,0.00214,-,0.07527,0.07299,0.03974,0.03661
881,0.00215,-,0.07171,0.07448,0.03802,0.03629
882,0.00216,-,0.07211,0.07322,0.03754,0.03878
883,0.00215,-,0.07646,0.07465,0.03937,0.03761
884,0.00216,-,0.07605,0.07584,0.03964,0.03850
885,0.00209,-,0.07202,0.07505,0.03750,0.03748
886,0.00217,-,0.07653,0.07664,0.03678,0.03750
887,0.00215,-,0.07649,0.07565,0.03753,0.03748
888,0.00209,-,0.07170,0.07357,0.03934,0.03970
889,0.00207,-,0.07323,0.07454,0.03880,0.03979
890,0.00214,-,0.07380,0.07456,0.03758,0.03753
891,0.00211,-,0.07164,0.07368,0.03826,0.03599
892,0.00210,-,0.07239,0.07468,0.03795,0.03753
893,0.00210,-,0.07614,0.07535,0.03883,0.03978
894,0.00208,-,0.07276,0.07557,0.03754,0.03972
895,0.00209,-,0.07646,0.07662,0.03603,0.03875
896,0.00212,-,0.07513,0.07596,0.03846,0.03750
897,0.00209,-,0.07204,0.07502,0.03754,0.03751
898,0.00211,-,0.07202,0.07415,0.03727,0.03696
899,0.00212,-,0.07647,0.07547,0.03706,0.03907
900,0.00209,-,0.07142,0.07352,0.03882,0.03779
901,0.00212,-,0.07650,0.07509,0.03800,0.03750
902,0.00213,-,0.07207,0.07452,0.03635,0.03752
903,0.00211,-,0.07610,0.07461,0.03848,0.03610
904,0.00212,-,0.07650,0.07543,0.03756,0.03753
905,0.00209,-,0.07645,0.07157,0.03882,0.03630
906,0.00205,-,0.07299,0.07658,0.03971,0.03967
907,0.00206,-,0.07545,0.06881,0.03752,0.03977
908,0.00212,-,0.07438,0.07380,0.03675,0.03753
909,0.00212,-,0.07238,0.07456,0.03726,0.03621
910,0.00211,-,0.07163,0.07504,0.03675,0.03877
911,0.00209,-,0.07463,0.07545,0.03668,0.03752
912,0.00211,-,0.07129,0.07365,0.03921,0.03991
913,0.00218,-,0.07456,0.07458,0.03728,0.03750
914,0.00216,-,0.07231,0.07452,0.03755,0.03755
915,0.00217,-,0.07164,0.07334,0.03874,0.03751
916,0.00217,-,0.07652,0.07581,0.03977,0.03878
917,0.00210,-,0.07274,0.07252,0.03857,0.03873
918,0.00211,-,0.07619,0.07216,0.03882,0.03825
919,0.00213,-,0.07098,0.07072,0.03752,0.03855
920,0.00211,-,0.07192,0.07218,0.03972,0.03757
921,0.00216,-,0.07217,0.07192,0.03937,0.03980
922,0.00218,-,0.07452,0.07664,0.03981,0.03977
923,0.00208,-,0.07647,0.07587,0.03680,0.03752
924,0.00209,-,0.07163,0.07223,0.03980,0.03975
925,0.00208,-,0.07455,0.07658,0.03968,0.03629
926,0.00206,-,0.07292,0.07106,0.03977,0.03975
927,0.00212,-,0.07419,0.07508,0.03881,0.03974
928,0.00209,-,0.06792,0.07235,0.03972,0.03974
929,0.00209,-,0.07650,0.07301,0.03973,0.03972
930,0.00207,-,0.07648,0.07460,0.03756,0.03754
931,0.00211,-,0.07611,0.07662,0.03686,0.03748
932,0.00209,-,0.07168,0.07457,0.03877,0.03975
933,0.00214,-,0.07448,0.07540,0.03599,0.03752
934,0.00211,-,0.07205,0.07451,0.03756,0.03751
935,0.00212,-,0.07613,0.07583,0.03973,0.03764
936,0.00214,-,0.07509,0.07383,0.03752,0.03756
937,0.00214,-,0.07290,0.07676,0.03593,0.03874
938,0.00212,-,0.07169,0.07270,0.03707,0.03752
939,0.00213,-,0.07444,0.07669,0.03598,0.03875
940,0.00208,-,0.07331,0.07667,0.03978,0.03975
941,0.00212,-,0.07242,0.07368,0.03674,0.03751
942,0.00215,-,0.07648,0.07391,0.03980,0.03977
943,0.00208,-,0.07175,0.07456,0.03930,0.03921
944,0.00211,-,0.07080,0.07455,0.03976,0.03974
945,0.00214,-,0.07205,0.07668,0.03967,0.03598
946,0.00209,-,0.07169,0.07334,0.03806,0.03737
947,0.00213,-,0.07648,0.07575,0.03809,0.03754
